,,,,,,,,,,PALLET DIMENSIONS,,,,,,,
ITEM CLASS,ITEM NUMBER,,,LENGTH,WIDTH,DEPTH,DESCRIPTION,COLOR,STRENGTH,LENGTH,WIDTH,DEPTH,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,20704021,RETT Box,RETT,07,04,02,RETT Box 7 X 4 X 2,#3 White,200#,,,,130,50,3150,Each,0.328
CB,20704031,RETT Box,RETT,07,04,03,RETT Box 7 X 4 X 3,#3 White,200#,,,,180,50,2100,Each,0.435
CB,20704041,RETT Box,RETT,07,04,04,RETT Box 7 X 4 X 4,#3 White,200#,,,,229,50,1700,Each,0.620
CB,20706011,RETT Box,RETT,07,06,01,RETT Box 7 X 6-1/2 X 1-7/8,#3 White,200#,,,,160,50,1500,Each,0.772
CB,20707011,RETT Box,RETT,07,07,01,RETT Box 7-3/8 X 7-3/8 X 1-3/8 ,#3 White,200#,,,,250,50,1500,Each,0.759
CB,20703021,RETT Box,RETT,07,03,02,RETT Box 7-1/2 X 3-1/4 X 2-1/4 ,#3 White,200#,,,,140,50,1500,Each,0.556
CB,20703032,RETT Box,RETT,07,03,03,RETT Box 7-1/2 X 3-3/4 X 3-1/4 ,#3 White,200#,,,,180,50,1500,Each,0.724
CB,20705031,RETT Box,RETT,07,05,03,RETT Box 7-1/2 X 5-1/2 X 3,#3 White,200#,,,,230,50,2100,Each,0.594
CB,20707031,RETT Box,RETT,07,07,03,RETT Box 7-1/2 X 7-1/2 X 3-1/4 ,#3 White,200#,,,,300,50,1600,Each,0.691
CB,20803021,RETT Box,RETT,08,03,02,RETT Box 8 X 3 X 2,#3 White,200#,,,,117,50,2800,Each,0.536
CB,20804031,RETT Box,RETT,08,04,03,RETT Box 8 X 4 X 3,#3 White,200#,,,,190,50,2100,Each,0.608
CB,20804041,RETT Box,RETT,08,04,04,RETT Box 8 X 4 X 4,#3 White,200#,,,,240,50,1400,Each,0.699
CB,20805011,RETT Box,RETT,08,05,01,RETT Box 8 X 5 X 1,#3 White,200#,,,,200,50,2250,Each,0.430
CB,20805031,RETT Box,RETT,08,05,03,RETT Box 8 X 5 X 3,#3 White,200#,,,,220,50,1500,Each,0.499
CB,20806021,RETT Box,RETT,08,06,02,RETT Box 8-1/8 X 6-1/8 X 2-1/8 ,#3 White,200#,,,,358,50,1500,Each,0.733
CB,20903031,RETT Box,RETT,09,03,03,RETT Box 9 X 3 X 3,#3 White,200#,,,,160,50,2100,Each,0.380
CB,20904021,RETT Box,RETT,09,04,02,RETT Box 9 X 4 X 2,#3 White,200#,,,,230,50,1500,Each,0.362
CB,20906021,RETT Box,RETT,09,06,02,RETT Box 9 X 6-1/2 X 2-3/4,#3 White,200#,,,,438,50,1500,Each,0.668
CB,20905021,RETT Box,RETT,09,05,02,RETT Box 9-3/8 X 5-1/4 X 2-1/2 ,#3 White,200#,,,,230,50,1500,Each,0.551
CB,20907021,RETT Box,RETT,09,07,02,RETT Box 9-3/8 X 7-1/4 X 2-1/2 ,#3 White,200#,,,,290,50,1500,Each,0.606
CB,20908021,RETT Box,RETT,09,08,02,RETT Box 9-1/2 X 8 X 2-1/4,#3 White,200#,,,,295,50,1500,Each,0.612
CB,21003021,RETT Box,RETT,10,03,02,RETT Box 10 X 3 X 2,#3 White,200#,,,,130,50,2800,Each,0.624
CB,21003031,RETT Box,RETT,10,03,03,RETT Box 10 X 3 X 3,#3 White,200#,,,,200,50,1500,Each,0.733
CB,21004021,RETT Box,RETT,10,04,02,RETT Box 10 X 4 X 2,#3 White,200#,,,,170,50,2100,Each,0.385
